#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
1.3.6.1.4.1.22610.1.3,,LOADBALANCER,A10,A10,TH3230
1.3.6.1.4.1.22610.1.3.20,,LOADBALANCER,A10,A10,TH6430
1.3.6.1.4.1.22610.1.3.21,,LOADBALANCER,A10,A10,TH5430
1.3.6.1.4.1.22610.1.3.22,,LOADBALANCER,A10,A10,TH3030S
1.3.6.1.4.1.22610.1.3.23,,LOADBALANCER,A10,A10,TH1030S
1.3.6.1.4.1.22610.1.3.24,,LOADBALANCER,A10,A10,TH930S
1.3.6.1.4.1.22610.1.3.25,,LOADBALANCER,A10,A10,TH4430
1.3.6.1.4.1.22610.1.3.26,,LOADBALANCER,A10,A10,TH5330
1.3.6.1.4.1.22610.1.3.27,,LOADBALANCER,A10,A10,TH4330
1.3.6.1.4.1.22610.1.3.28,,LOADBALANCER,A10,A10,TH5630
1.3.6.1.4.1.22610.1.3.29,,LOADBALANCER,A10,A10,TH6630
1.3.6.1.4.1.22610.1.3.30,,LOADBALANCER,A10,A10,TH3430S
1.3.6.1.4.1.22610.1.3.31,,LOADBALANCER,A10,A10,TH5330S
1.3.6.1.4.1.22610.1.3.32,,LOADBALANCER,A10,A10,TH5840S
1.3.6.1.4.1.22610.1.3.37,,LOADBALANCER,A10,A10,TH7440S
