#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.9.1.5,,SWITCH,Switch,Cisco,ciscoIGS
.1.3.6.1.4.1.9.1.6,,SWITCH,Switch,Cisco,cisco3000
.1.3.6.1.4.1.9.1.7,,SWITCH,Switch,Cisco,cisco4000
.1.3.6.1.4.1.9.1.8,,SWITCH,Switch,Cisco,cisco7000
.1.3.6.1.4.1.9.1.9,,SWITCH,Switch,Cisco,ciscoCS500
.1.3.6.1.4.1.9.1.10,,SWITCH,Switch,Cisco,cisco2000
.1.3.6.1.4.1.9.1.11,,SWITCH,Switch,Cisco,ciscoAGSplus
.1.3.6.1.4.1.9.1.12,,SWITCH,Switch,Cisco,cisco7010
.1.3.6.1.4.1.9.1.13,,SWITCH,Switch,Cisco,cisco2500
.1.3.6.1.4.1.9.1.14,,SWITCH,Switch,Cisco,cisco4500
.1.3.6.1.4.1.9.1.15,,SWITCH,Switch,Cisco,cisco2102
.1.3.6.1.4.1.9.1.16,,SWITCH,Switch,Cisco,cisco2202
.1.3.6.1.4.1.9.1.17,,SWITCH,Switch,Cisco,cisco2500
.1.3.6.1.4.1.9.1.18,,SWITCH,Switch,Cisco,cisco2502
.1.3.6.1.4.1.9.1.19,,SWITCH,Switch,Cisco,cisco2503
.1.3.6.1.4.1.9.1.20,,SWITCH,Switch,Cisco,cisco2504
.1.3.6.1.4.1.9.1.21,,SWITCH,Switch,Cisco,cisco2505
.1.3.6.1.4.1.9.1.22,,SWITCH,Switch,Cisco,cisco2506
.1.3.6.1.4.1.9.1.23,,SWITCH,Switch,Cisco,cisco2507
.1.3.6.1.4.1.9.1.24,,SWITCH,Switch,Cisco,cisco2508
.1.3.6.1.4.1.9.1.25,,SWITCH,Switch,Cisco,cisco2509
.1.3.6.1.4.1.9.1.26,,SWITCH,Switch,Cisco,cisco2510
.1.3.6.1.4.1.9.1.27,,SWITCH,Switch,Cisco,cisco2511
.1.3.6.1.4.1.9.1.28,,SWITCH,Switch,Cisco,cisco2512
.1.3.6.1.4.1.9.1.29,,SWITCH,Switch,Cisco,cisco2513
.1.3.6.1.4.1.9.1.30,,SWITCH,Switch,Cisco,cisco2514
.1.3.6.1.4.1.9.1.31,,SWITCH,Switch,Cisco,cisco2515
.1.3.6.1.4.1.9.1.32,,SWITCH,Switch,Cisco,cisco3101
.1.3.6.1.4.1.9.1.33,,SWITCH,Switch,Cisco,cisco3102
.1.3.6.1.4.1.9.1.34,,SWITCH,Switch,Cisco,cisco3103
.1.3.6.1.4.1.9.1.35,,SWITCH,Switch,Cisco,cisco3104
.1.3.6.1.4.1.9.1.36,,SWITCH,Switch,Cisco,cisco3202
.1.3.6.1.4.1.9.1.37,,SWITCH,Switch,Cisco,cisco3204
.1.3.6.1.4.1.9.1.38,,SWITCH,Switch,Cisco,ciscoAccessProRC
.1.3.6.1.4.1.9.1.39,,SWITCH,Switch,Cisco,ciscoAccessProEC
.1.3.6.1.4.1.9.1.40,,SWITCH,Switch,Cisco,cisco1000
.1.3.6.1.4.1.9.1.41,,SWITCH,Switch,Cisco,cisco1003
.1.3.6.1.4.1.9.1.42,,SWITCH,Switch,Cisco,cisco2516
.1.3.6.1.4.1.9.1.43,,SWITCH,Switch,Cisco,cisco1020
.1.3.6.1.4.1.9.1.44,,SWITCH,Switch,Cisco,cisco1004
.1.3.6.1.4.1.9.1.45,,SWITCH,Switch,Cisco,cisco7507
.1.3.6.1.4.1.9.1.45,,SWITCH,Switch,Cisco,cisco7500
.1.3.6.1.4.1.9.1.46,,SWITCH,Switch,Cisco,cisco7513
.1.3.6.1.4.1.9.1.46,,SWITCH,Switch,Cisco,cisco7500
.1.3.6.1.4.1.9.1.48,,SWITCH,Switch,Cisco,cisco7505
.1.3.6.1.4.1.9.1.48,,SWITCH,Switch,Cisco,cisco7500
.1.3.6.1.4.1.9.1.49,,SWITCH,Switch,Cisco,cisco1005
.1.3.6.1.4.1.9.1.50,,SWITCH,Switch,Cisco,cisco4700
.1.3.6.1.4.1.9.1.51,,SWITCH,Switch,Cisco,ciscoPro1003
.1.3.6.1.4.1.9.1.52,,SWITCH,Switch,Cisco,ciscoPro1004
.1.3.6.1.4.1.9.1.53,,SWITCH,Switch,Cisco,ciscoPro1005
.1.3.6.1.4.1.9.1.55,,SWITCH,Switch,Cisco,ciscoPro2500PCE
.1.3.6.1.4.1.9.1.56,,SWITCH,Switch,Cisco,ciscoPro2501
.1.3.6.1.4.1.9.1.57,,SWITCH,Switch,Cisco,ciscoPro2503
.1.3.6.1.4.1.9.1.58,,SWITCH,Switch,Cisco,ciscoPro2505
.1.3.6.1.4.1.9.1.59,,SWITCH,Switch,Cisco,ciscoPro2507
.1.3.6.1.4.1.9.1.60,,SWITCH,Switch,Cisco,ciscoPro2509
.1.3.6.1.4.1.9.1.61,,SWITCH,Switch,Cisco,ciscoPro2511
.1.3.6.1.4.1.9.1.62,,SWITCH,Switch,Cisco,ciscoPro2514
.1.3.6.1.4.1.9.1.63,,SWITCH,Switch,Cisco,ciscoPro2516
.1.3.6.1.4.1.9.1.64,,SWITCH,Switch,Cisco,ciscoPro2519
.1.3.6.1.4.1.9.1.66,,SWITCH,Switch,Cisco,ciscoPro4500
.1.3.6.1.4.1.9.1.67,,SWITCH,Switch,Cisco,cisco2517
.1.3.6.1.4.1.9.1.68,,SWITCH,Switch,Cisco,cisco2518
.1.3.6.1.4.1.9.1.69,,SWITCH,Switch,Cisco,cisco2519
.1.3.6.1.4.1.9.1.70,,SWITCH,Switch,Cisco,cisco2520
.1.3.6.1.4.1.9.1.71,,SWITCH,Switch,Cisco,cisco2521
.1.3.6.1.4.1.9.1.72,,SWITCH,Switch,Cisco,cisco2522
.1.3.6.1.4.1.9.1.73,,SWITCH,Switch,Cisco,cisco2523
.1.3.6.1.4.1.9.1.74,,SWITCH,Switch,Cisco,cisco2524
.1.3.6.1.4.1.9.1.75,,SWITCH,Switch,Cisco,cisco2525
.1.3.6.1.4.1.9.1.76,,SWITCH,Switch,Cisco,ciscoPro751
.1.3.6.1.4.1.9.1.77,,SWITCH,Switch,Cisco,ciscoPro752
.1.3.6.1.4.1.9.1.78,,SWITCH,Switch,Cisco,ciscoPro753
.1.3.6.1.4.1.9.1.81,,SWITCH,Switch,Cisco,cisco751
.1.3.6.1.4.1.9.1.82,,SWITCH,Switch,Cisco,cisco752
.1.3.6.1.4.1.9.1.83,,SWITCH,Switch,Cisco,cisco753
.1.3.6.1.4.1.9.1.92,,SWITCH,Switch,Cisco,ciscoPro765
.1.3.6.1.4.1.9.1.93,,SWITCH,Switch,Cisco,ciscoPro766
.1.3.6.1.4.1.9.1.98,,SWITCH,Switch,Cisco,cisco761
.1.3.6.1.4.1.9.1.99,,SWITCH,Switch,Cisco,cisco762
.1.3.6.1.4.1.9.1.102,,SWITCH,Switch,Cisco,cisco765
.1.3.6.1.4.1.9.1.103,,SWITCH,Switch,Cisco,cisco766
.1.3.6.1.4.1.9.1.104,,SWITCH,Switch,Cisco,ciscoPro2520
.1.3.6.1.4.1.9.1.105,,SWITCH,Switch,Cisco,ciscoPro2522
.1.3.6.1.4.1.9.1.106,,SWITCH,Switch,Cisco,ciscoPro2524
.1.3.6.1.4.1.9.1.107,,SWITCH,Switch,Cisco,ciscoLS1010
.1.3.6.1.4.1.9.1.108,,SWITCH,Switch,Cisco,cisco7206
.1.3.6.1.4.1.9.1.108,,SWITCH,Switch,Cisco,cisco7200
.1.3.6.1.4.1.9.1.109,,SWITCH,Switch,Cisco,ciscoAS5200
.1.3.6.1.4.1.9.1.110,,SWITCH,Switch,Cisco,cisco3640
.1.3.6.1.4.1.9.1.113,,SWITCH,Switch,Cisco,cisco1601
.1.3.6.1.4.1.9.1.114,,SWITCH,Switch,Cisco,cisco1602
.1.3.6.1.4.1.9.1.115,,SWITCH,Switch,Cisco,cisco1603
.1.3.6.1.4.1.9.1.116,,SWITCH,Switch,Cisco,cisco1604
.1.3.6.1.4.1.9.1.117,,SWITCH,Switch,Cisco,ciscoPro1601
.1.3.6.1.4.1.9.1.118,,SWITCH,Switch,Cisco,ciscoPro1602
.1.3.6.1.4.1.9.1.119,,SWITCH,Switch,Cisco,ciscoPro1603
.1.3.6.1.4.1.9.1.120,,SWITCH,Switch,Cisco,ciscoPro1604
.1.3.6.1.4.1.9.1.122,,SWITCH,Switch,Cisco,cisco3620
.1.3.6.1.4.1.9.1.125,,SWITCH,Switch,Cisco,cisco7204
.1.3.6.1.4.1.9.1.125,,SWITCH,Switch,Cisco,cisco7200
.1.3.6.1.4.1.9.1.126,,SWITCH,Switch,Cisco,cisco771
.1.3.6.1.4.1.9.1.127,,SWITCH,Switch,Cisco,cisco772
