#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
#交换机
.1.3.6.1.4.1.2011.2.4.1.0,,SWITCH,Switch,Huawei,HuaweiSwitch-S2403F
.1.3.6.1.4.1.2011.10.1.1,,SWITCH,Switch,Huawei,s2008-EI
.1.3.6.1.4.1.2011.10.1.10,,SWITCH,Switch,Huawei,s3928P-SI
.1.3.6.1.4.1.2011.10.1.100,,SWITCH,Switch,Huawei,s5624F
.1.3.6.1.4.1.2011.10.1.101,,SWITCH,Switch,Huawei,s3224P
.1.3.6.1.4.1.2011.10.1.102,,SWITCH,Switch,Huawei,s3226T
.1.3.6.1.4.1.2011.10.1.103,,SWITCH,Switch,Huawei,s3226P
.1.3.6.1.4.1.2011.10.1.104,,SWITCH,Switch,Huawei,s3250T
.1.3.6.1.4.1.2011.10.1.105,,SWITCH,Switch,Huawei,s3250P
.1.3.6.1.4.1.2011.10.1.106,,SWITCH,Switch,Huawei,s3108T
.1.3.6.1.4.1.2011.10.1.107,,SWITCH,Switch,Huawei,s3116T
.1.3.6.1.4.1.2011.10.1.108,,SWITCH,Switch,Huawei,s3126T
.1.3.6.1.4.1.2011.10.1.109,,SWITCH,Switch,Huawei,s3108C
.1.3.6.1.4.1.2011.10.1.11,,SWITCH,Switch,Huawei,s3952P-SI
.1.3.6.1.4.1.2011.10.1.110,,SWITCH,Switch,Huawei,s3116C
.1.3.6.1.4.1.2011.10.1.111,,SWITCH,Switch,Huawei,s3126C
.1.3.6.1.4.1.2011.10.1.116,,SWITCH,Switch,Huawei,s3928TP-V6
.1.3.6.1.4.1.2011.10.1.117,,SWITCH,Switch,Huawei,s3928P-V6
.1.3.6.1.4.1.2011.10.1.118,,SWITCH,Switch,Huawei,s3952P-V6
.1.3.6.1.4.1.2011.10.1.119,,SWITCH,Switch,Huawei,s3928F-V6
.1.3.6.1.4.1.2011.10.1.12,,SWITCH,Switch,Huawei,s3928TP-SI
.1.3.6.1.4.1.2011.10.1.120,,SWITCH,Switch,Huawei,s5524P
.1.3.6.1.4.1.2011.10.1.121,,SWITCH,Switch,Huawei,s5524F
.1.3.6.1.4.1.2011.10.1.13,,SWITCH,Switch,Huawei,s3928P-EI
.1.3.6.1.4.1.2011.10.1.130,,SWITCH,Switch,Huawei,s2008CT
.1.3.6.1.4.1.2011.10.1.131,,SWITCH,Switch,Huawei,s2008CP
.1.3.6.1.4.1.2011.10.1.14,,SWITCH,Switch,Huawei,s3952P-EI
.1.3.6.1.4.1.2011.10.1.146,,SWITCH,Switch,Huawei,s5112P-EI
.1.3.6.1.4.1.2011.10.1.147,,SWITCH,Switch,Huawei,s5113C-EI
.1.3.6.1.4.1.2011.10.1.148,,SWITCH,Switch,Huawei,s5228C
.1.3.6.1.4.1.2011.10.1.149,,SWITCH,Switch,Huawei,s5252C
.1.3.6.1.4.1.2011.10.1.15,,SWITCH,Switch,Huawei,s3928P-PWR-EI
.1.3.6.1.4.1.2011.10.1.150,,SWITCH,Switch,Huawei,s5228C-PWR
.1.3.6.1.4.1.2011.10.1.151,,SWITCH,Switch,Huawei,s5252C-PWR
.1.3.6.1.4.1.2011.10.1.152,,SWITCH,Switch,Huawei,s2008-HI
.1.3.6.1.4.1.2011.10.1.153,,SWITCH,Switch,Huawei,s2016-HI
.1.3.6.1.4.1.2011.10.1.154,,SWITCH,Switch,Huawei,s2403H-HI
.1.3.6.1.4.1.2011.10.1.16,,SWITCH,Switch,Huawei,s3952P-PWR-EI
.1.3.6.1.4.1.2011.10.1.17,,SWITCH,Switch,Huawei,s3928F-EI
.1.3.6.1.4.1.2011.10.1.18,,SWITCH,Switch,Huawei,s5600M
.1.3.6.1.4.1.2011.10.1.22,,SWITCH,Switch,Huawei,s8508
.1.3.6.1.4.1.2011.10.1.3,,SWITCH,Switch,Huawei,s2403H-EI
.1.3.6.1.4.1.2011.10.1.4,,SWITCH,Switch,Huawei,s3026PWR
.1.3.6.1.4.1.2011.10.1.40,,SWITCH,Switch,Huawei,sr8805
.1.3.6.1.4.1.2011.10.1.41,,SWITCH,Switch,Huawei,sr8808
.1.3.6.1.4.1.2011.10.1.42,,SWITCH,Switch,Huawei,sr8812
.1.3.6.1.4.1.2011.10.1.43,,SWITCH,Switch,Huawei,s5624P
.1.3.6.1.4.1.2011.10.1.44,,SWITCH,Switch,Huawei,s5624P-PWR
.1.3.6.1.4.1.2011.10.1.45,,SWITCH,Switch,Huawei,s5648P
.1.3.6.1.4.1.2011.10.1.46,,SWITCH,Switch,Huawei,s5648P-PWR
.1.3.6.1.4.1.2011.10.1.47,,SWITCH,Switch,Huawei,s2008C
.1.3.6.1.4.1.2011.10.1.48,,SWITCH,Switch,Huawei,s2016C
.1.3.6.1.4.1.2011.10.1.49,,SWITCH,Switch,Huawei,s2024C
.1.3.6.1.4.1.56813.2.23.354,,SWITCH,switch,Huawei,S6720

#路由器
.1.3.6.1.4.1.2011.2.12.1.1,,SWITCH,Router,Huawei,Huawei-A8010R15
.1.3.6.1.4.1.2011.2.3.3.2,,SWITCH,Router,Huawei,Huawei-A8010R20
.1.3.6.1.4.1.2011.2.2.1.7508,,SWITCH,Router,Huawei,HuaweiRouter-RNE08
.1.3.6.1.4.1.2011.2.2.1.7516,,SWITCH,Router,Huawei,HuaweiRouter-RNE16
.1.3.6.1.4.1.2011.2.26.1,,SWITCH,Router,Huawei,HuaweiRouter-RNE16E
.1.3.6.1.4.1.2011.2.26.2,,SWITCH,Router,Huawei,HuaweiRouter-RNE08E
.1.3.6.1.4.1.2011.2.26.3,,SWITCH,Router,Huawei,HuaweiRouter-RNE05
.1.3.6.1.4.1.2011.2.23.11.2,,SWITCH,Router,Huawei,HuaweiRouter-S8016A
.1.3.6.1.4.1.2011.2.17,,SWITCH,Router,Huawei,HuaweiRouter-RNE80
.1.3.6.1.4.1.2011.2.29,,SWITCH,Router,Huawei,HuaweiRouter-RNE40-4
.1.3.6.1.4.1.2011.2.30,,SWITCH,Router,Huawei,HuaweiRouter-RNE40-2
.1.3.6.1.4.1.2011.2.31,,SWITCH,Router,Huawei,HuaweiRouter-RNE40-8
.1.3.6.1.4.1.2011.1.1.1.11812,,SWITCH,Router,Huawei,ar18-12
.1.3.6.1.4.1.2011.1.1.1.11813,,SWITCH,Router,Huawei,ar18-13
.1.3.6.1.4.1.2011.1.1.1.11815,,SWITCH,Router,Huawei,ar18-15
.1.3.6.1.4.1.2011.1.1.1.11816,,SWITCH,Router,Huawei,ar18-16
.1.3.6.1.4.1.2011.1.1.1.12809,,SWITCH,Router,Huawei,ar28-09
.1.3.6.1.4.1.2011.1.1.1.12810,,SWITCH,Router,Huawei,ar28-10
.1.3.6.1.4.1.2011.1.1.1.12811,,SWITCH,Router,Huawei,ar28-11
.1.3.6.1.4.1.2011.1.1.1.12830,,SWITCH,Router,Huawei,ar28-30
.1.3.6.1.4.1.2011.1.1.1.12831,,SWITCH,Router,Huawei,ar28-31
