#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.2636,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.1,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.2,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.3,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.4,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.5,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.6,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.7,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.2636.1.1.1.2.8,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.4874.1.1.1.1.3,,SWITCH,Router,Juniper,JuniperRouter
.1.3.6.1.4.1.4874.1.1.1.1.4,,SWITCH,Router,Juniper,JuniperRouter
