UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 5月30 ?       00:13:00 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0 5月30 ?       00:00:02 [kthreadd]
root         3     2  0 5月30 ?       00:03:32 [ksoftirqd/0]
root         5     2  0 5月30 ?       00:00:00 [kworker/0:0H]
root         7     2  0 5月30 ?       00:00:52 [migration/0]
root         8     2  0 5月30 ?       00:00:00 [rcu_bh]
root         9     2  0 5月30 ?       00:09:22 [rcu_sched]
root        10     2  0 5月30 ?       00:00:14 [watchdog/0]
root        11     2  0 5月30 ?       00:00:12 [watchdog/1]
root        12     2  0 5月30 ?       00:00:56 [migration/1]
root        13     2  0 5月30 ?       00:00:52 [ksoftirqd/1]
root        16     2  0 5月30 ?       00:00:10 [watchdog/2]
root        17     2  0 5月30 ?       00:00:16 [migration/2]
root        18     2  0 5月30 ?       00:00:11 [ksoftirqd/2]
root        20     2  0 5月30 ?       00:00:00 [kworker/2:0H]
root        21     2  0 5月30 ?       00:00:13 [watchdog/3]
root        22     2  0 5月30 ?       00:01:58 [migration/3]
root        23     2  0 5月30 ?       00:13:12 [ksoftirqd/3]
root        25     2  0 5月30 ?       00:00:00 [kworker/3:0H]
root        27     2  0 5月30 ?       00:00:00 [khelper]
root        28     2  0 5月30 ?       00:00:00 [kdevtmpfs]
root        29     2  0 5月30 ?       00:00:00 [netns]
root        30     2  0 5月30 ?       00:00:09 [khungtaskd]
root        31     2  0 5月30 ?       00:00:00 [writeback]
root        32     2  0 5月30 ?       00:00:00 [kintegrityd]
root        33     2  0 5月30 ?       00:00:00 [bioset]
root        34     2  0 5月30 ?       00:00:00 [kblockd]
root        35     2  0 5月30 ?       00:00:00 [md]
root        44     2  0 5月30 ?       00:00:38 [kswapd0]
root        45     2  0 5月30 ?       00:00:00 [ksmd]
root        46     2  0 5月30 ?       00:01:49 [khugepaged]
root        47     2  0 5月30 ?       00:00:00 [fsnotify_mark]
root        48     2  0 5月30 ?       00:00:00 [crypto]
root        56     2  0 5月30 ?       00:00:00 [kthrotld]
root        58     2  0 5月30 ?       00:00:00 [kmpath_rdacd]
root        59     2  0 5月30 ?       00:00:00 [kpsmoused]
root        61     2  0 5月30 ?       00:00:00 [ipv6_addrconf]
root        80     2  0 5月30 ?       00:00:00 [deferwq]
root       113     2  0 5月30 ?       00:01:38 [kauditd]
root       298     2  0 5月30 ?       00:00:00 [ata_sff]
root       299     2  0 5月30 ?       00:00:00 [scsi_eh_0]
root       300     2  0 5月30 ?       00:00:00 [scsi_tmf_0]
root       301     2  0 5月30 ?       00:00:00 [scsi_eh_1]
root       302     2  0 5月30 ?       00:00:00 [vmw_pvscsi_wq_0]
root       303     2  0 5月30 ?       00:00:00 [scsi_tmf_1]
root       304     2  0 5月30 ?       00:00:00 [scsi_eh_2]
root       305     2  0 5月30 ?       00:00:00 [scsi_tmf_2]
root       310     2  0 5月30 ?       00:00:00 [ttm_swap]
